",customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate"
"21684,sao paulo,SP,2017-09-09 10:59:51,2017-09-09 11:40:07,2017-09-14 19:13:52,2017-09-21 12:07:44,2017-10-03,3,,,2017-09-22 00:00:00,2017-09-24 00:23:28,2017-09-14 11:40:07,58.0,17.66,31.0,492.0,3.0,1550.0,1,credit_card,1,75.66,canoinhas,SC,sports_leisure,Entertainment,16740.0,24,12,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"32836,taubate,SP,2018-05-03 19:53:54,2018-05-05 03:33:43,2018-05-08 12:54:00,2018-05-15 21:07:48,2018-06-01,5,,,2018-05-16 00:00:00,2018-05-21 13:51:39,2018-05-10 03:31:11,349.0,20.32,46.0,316.0,4.0,12150.0,1,boleto,1,1107.96,lages,SC,housewares,Home & Garden,44880.0,29,12,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"3557,sinop,MT,2017-09-19 13:19:18,2017-09-19 13:35:18,2017-09-21 15:55:04,2017-10-05 19:17:53,2017-10-16,1,,""Comprei 3 pendentes, 1 veio amassado. Reclamei e até agora não entraram em contato para me informar como vai fazer para me reembolsar."",2017-10-06 00:00:00,2017-10-12 18:43:30,2017-09-26 13:35:18,38.4,17.92,41.0,789.0,1.0,950.0,1,credit_card,10,168.96,sao paulo,SP,furniture_decor,Furniture,14000.0,27,16,14,OnTime/Early,OnTime/Early,Slow,Neutral,Fast"
"47814,sao paulo,SP,2017-07-11 18:17:11,2017-07-11 18:30:23,2017-07-12 17:05:50,2017-07-14 20:09:57,2017-07-31,5,,,2017-07-15 00:00:00,2017-07-18 13:00:04,2017-07-17 18:30:23,77.8,27.12,41.0,673.0,1.0,3008.0,2,voucher,1,18.91,laranjal paulista,SP,toys,Entertainment,46080.0,20,3,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"20356,sao jose dos campos,SP,2017-07-21 10:09:02,2017-07-25 03:50:17,2017-07-26 10:21:44,2017-07-29 11:11:26,2017-08-03,5,,,2017-07-30 00:00:00,2017-07-30 16:47:24,2017-07-31 03:50:17,39.9,7.78,58.0,214.0,3.0,150.0,1,boleto,1,47.68,sao paulo,SP,sports_leisure,Entertainment,12500.0,13,8,3,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast"
"90262,guarulhos,SP,2018-04-03 15:26:14,2018-04-05 02:10:21,2018-04-05 18:41:38,2018-04-06 17:32:50,2018-04-19,5,,,2018-04-07 00:00:00,2018-04-07 21:08:49,2018-04-11 02:10:21,7.9,8.29,50.0,366.0,4.0,200.0,1,boleto,1,32.38,mogi das cruzes,SP,stationery,Books & Stationery,11475.0,16,3,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"24239,belo horizonte,MG,2018-03-15 16:06:52,2018-03-17 02:45:33,2018-03-19 19:56:27,2018-04-06 17:57:28,2018-04-03,5,,Apesar dos Correios terem entrado de greve o produto foi entregue em tempo hábil dentro do prazo.,2018-04-07 00:00:00,2018-04-11 12:22:02,2018-03-22 02:45:33,50.0,16.32,56.0,645.0,1.0,500.0,1,boleto,1,66.32,itatiba,SP,baby,Fashion,19305.0,19,22,18,OnTime/Early,Late,Neutral,Neutral,Neutral"
"74255,maua,SP,2018-08-15 22:30:47,2018-08-17 03:10:16,2018-08-27 15:21:00,2018-08-28 18:32:11,2018-08-21,1,Insegurança,Pelo site da lannister não dá pra acompanhar a movimentação do produto. ,2018-08-25 00:00:00,2018-08-25 14:15:05,2018-08-22 03:10:16,27.0,7.45,45.0,1752.0,1.0,280.0,1,boleto,1,34.45,guarulhos,SP,health_beauty,Beauty & Health,6156.0,6,13,1,Late,Late,Very Fast,Fast,Very Fast"
"48257,sao paulo,SP,2017-09-13 17:04:49,2017-09-13 17:27:41,2017-09-14 15:16:26,2017-09-15 18:32:48,2017-10-02,5,,""Chegou muito antes do prazo "
"Adorei!!!"",2017-09-16 00:00:00,2017-09-18 18:22:19,2017-09-19 17:27:41,69.0,8.72,41.0,515.0,1.0,600.0,1,credit_card,3,77.72,sao paulo,SP,toys,Entertainment,3510.0,19,2,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"12515,patrocinio,MG,2018-06-26 00:10:09,2018-06-26 00:57:35,2018-06-26 14:00:00,2018-06-30 20:52:55,2018-07-19,5,SUPER RECOMENDO,ÓTIMOS E CONTINUEM ASSIM,2018-07-01 00:00:00,2018-07-03 01:44:58,2018-06-28 00:57:35,20.0,18.24,43.0,962.0,1.0,350.0,1,credit_card,1,38.24,cotia,SP,auto,Electronics,4500.0,23,4,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"41936,montes claros,MG,2017-02-16 11:53:48,2017-02-16 12:31:24,2017-02-17 14:28:14,2017-03-02 16:39:08,2017-03-20,3,,,2017-03-04 00:00:00,2017-03-07 15:59:25,2017-02-21 10:53:48,159.99,21.2,56.0,718.0,1.0,2400.0,1,credit_card,10,362.38,ibitinga,SP,bed_bath_table,Furniture,16632.0,32,14,13,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"66099,augusto correa,PA,2018-04-20 17:03:32,2018-04-24 19:28:54,2018-04-24 17:04:19,2018-05-10 20:52:14,2018-06-01,5,,,2018-05-11 00:00:00,2018-05-12 00:09:52,2018-04-26 17:30:45,159.0,37.8,56.0,272.0,1.0,333.0,1,credit_card,3,196.8,barueri,SP,watches_gifts,Electronics,3315.0,42,20,16,OnTime/Early,OnTime/Early,Very Slow,Neutral,Neutral"
"56299,marataizes,ES,2017-02-23 23:07:29,2017-02-25 02:10:31,2017-03-01 12:14:03,2017-03-07 15:21:54,2017-03-24,4,,""Ainda não utilizei o produto, mas a entrega foi rápida."",2017-03-08 00:00:00,2017-03-09 02:26:33,2017-03-06 02:10:31,49.9,18.94,50.0,528.0,1.0,850.0,1,boleto,1,68.84,sao jose dos campos,SP,computers_accessories,Electronics,5184.0,29,12,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"54206,fortaleza,CE,2018-06-16 15:20:44,2018-06-16 15:37:59,2018-06-18 13:57:00,2018-06-26 23:44:58,2018-07-16,5,sim,recebido antes do prazo,2018-06-27 00:00:00,2018-06-30 11:22:30,2018-06-19 15:31:33,99.0,19.6,60.0,407.0,3.0,400.0,1,credit_card,1,118.6,sao paulo,SP,computers_accessories,Electronics,1008.0,30,10,8,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"110858,sao paulo,SP,2017-10-18 09:53:59,2017-10-18 10:07:23,2017-10-18 15:12:31,2017-10-24 18:42:47,2017-11-06,5,,,2017-10-25 00:00:00,2017-11-06 19:56:52,2017-10-24 10:07:23,24.0,11.85,59.0,915.0,1.0,588.0,1,credit_card,1,35.85,assis,SP,costruction_tools_garden,Home & Garden,2912.0,19,6,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"111697,bauru,SP,2017-06-17 12:45:24,2017-06-20 10:50:11,2017-06-21 09:00:57,2017-06-26 16:40:23,2017-07-07,5,,,2017-06-27 00:00:00,2017-06-28 03:25:29,2017-06-26 10:50:11,69.9,11.99,56.0,511.0,2.0,200.0,1,boleto,1,81.89,sao paulo,SP,fashion_sport,Fashion,2304.0,20,9,5,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"107853,ribeirao preto,SP,2018-07-01 19:53:44,2018-07-01 20:10:03,2018-07-03 06:06:00,2018-07-04 22:32:39,2018-07-20,5,.,.,2018-07-05 00:00:00,2018-07-06 11:08:58,2018-07-03 20:10:03,59.9,13.08,40.0,360.0,5.0,200.0,1,credit_card,1,72.98,sao paulo,SP,fashion_bags_accessories,Fashion,2688.0,19,3,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"78357,sao paulo,SP,2017-11-09 19:18:12,2017-11-11 02:55:41,2017-11-16 21:15:46,2017-11-17 20:21:19,2017-11-23,3,,,2017-11-18 00:00:00,2017-11-21 19:00:14,2017-11-17 02:55:41,37.0,9.03,28.0,733.0,1.0,700.0,1,boleto,1,192.37,osasco,SP,health_beauty,Beauty & Health,5670.0,14,8,1,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast"
"55281,bento goncalves,RS,2017-02-14 19:49:42,2017-02-14 20:03:22,2017-02-15 08:18:02,2017-02-20 14:24:18,2017-03-15,5,,,2017-02-21 00:00:00,2017-02-21 11:20:34,2017-02-18 19:49:42,46.86,14.52,43.0,677.0,2.0,225.0,1,credit_card,6,61.38,blumenau,SC,computers_accessories,Electronics,6525.0,29,6,5,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"14954,taquari,RS,2018-05-28 13:49:19,2018-05-30 02:32:16,2018-06-05 10:44:00,2018-06-13 16:58:27,2018-07-16,5,,,2018-06-14 00:00:00,2018-06-14 20:32:26,2018-06-07 02:32:01,199.9,27.48,48.0,236.0,2.0,3450.0,1,boleto,1,454.76,pirituba,SP,sports_leisure,Entertainment,13500.0,49,16,8,OnTime/Early,OnTime/Early,Very Slow,Neutral,Fast"
"100142,rio de janeiro,RJ,2017-02-20 00:34:48,2017-02-20 01:05:28,2017-02-21 08:35:19,2017-02-24 10:08:00,2017-03-21,5,,,2017-02-25 00:00:00,2017-03-01 11:07:34,2017-02-24 00:34:48,117.0,29.01,28.0,383.0,3.0,5950.0,1,voucher,1,146.01,cotia,SP,electronics,Electronics,9614.0,29,4,3,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"56219,nova granada,SP,2017-11-13 15:32:54,2017-11-15 02:36:15,2017-11-17 17:02:50,2017-11-23 18:52:08,2017-12-01,5,,,2017-11-24 00:00:00,2017-11-24 22:03:06,2017-11-21 02:35:45,49.9,11.92,49.0,664.0,3.0,680.0,1,boleto,1,61.82,sao paulo,SP,computers_accessories,Electronics,5922.0,18,10,6,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"28754,valinhos,SP,2018-08-26 07:54:47,2018-08-26 08:10:08,2018-08-27 15:33:00,2018-08-30 17:58:42,2018-09-06,5,Mop,Produto ótima qualidade entrega muito rápida recomendo o produto a loja tá de parabéns ,2018-08-31 00:00:00,2018-09-01 19:29:54,2018-08-29 08:10:08,69.9,21.13,42.0,886.0,3.0,5200.0,1,credit_card,8,182.06,sao jose do rio preto,SP,housewares,Home & Garden,31050.0,11,4,3,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"63939,porto alegre,RS,2018-02-20 10:33:58,2018-02-22 02:30:55,2018-02-22 17:53:12,2018-03-02 20:48:32,2018-03-14,3,,bom,2018-03-03 00:00:00,2018-03-06 11:26:40,2018-02-28 02:30:44,108.0,17.33,58.0,3006.0,2.0,1000.0,1,boleto,1,125.33,rio de janeiro,RJ,watches_gifts,Electronics,7632.0,22,10,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"109526,sao paulo,SP,2018-04-09 20:34:20,2018-04-09 20:51:14,2018-04-10 17:48:23,2018-04-16 17:13:04,2018-05-04,4,,,2018-04-17 00:00:00,2018-04-18 10:53:13,2018-04-13 20:51:14,169.9,19.07,52.0,1290.0,5.0,450.0,1,credit_card,1,188.97,carazinho,RS,luggage_accessories,Home & Garden,24000.0,25,7,6,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"14061,barreiras,BA,2018-01-08 17:35:37,2018-01-08 17:48:51,2018-01-09 23:33:13,2018-01-19 20:15:43,2018-02-22,3,,,2018-01-20 00:00:00,2018-01-21 15:12:55,2018-01-12 17:48:51,150.0,23.0,48.0,683.0,2.0,1450.0,1,credit_card,3,173.0,sao paulo,SP,auto,Electronics,8000.0,45,11,10,OnTime/Early,OnTime/Early,Very Slow,Fast,Fast"
"106356,feira de santana,BA,2018-07-13 11:30:23,2018-07-13 11:44:09,2018-07-16 10:58:00,2018-07-20 15:13:56,2018-08-02,4,Recomendo,Produto de boa qualidade e entrega no prazo!!!,2018-07-21 00:00:00,2018-07-23 19:40:33,2018-07-17 11:44:09,49.0,22.27,59.0,93.0,7.0,250.0,1,credit_card,7,71.27,sao paulo,SP,fashion_bags_accessories,Fashion,352.0,20,7,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"3857,sao joao de meriti,RJ,2018-06-16 21:29:36,2018-06-16 21:55:53,2018-06-19 15:44:00,2018-06-25 19:36:34,2018-07-13,1,Ruim,""Comprei 2 kits de luminária e só foi entregue 1, mas a nota está cobrando os dois, mais a fita de led q foi para o correio muito longe da minha casa. "",2018-06-26 00:00:00,2018-06-29 00:40:59,2018-06-20 21:55:53,105.0,18.54,48.0,895.0,1.0,2650.0,1,credit_card,2,247.08,sao paulo,SP,furniture_decor,Furniture,27000.0,27,9,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"21636,rio de janeiro,RJ,2017-05-26 23:41:21,2017-05-26 23:50:13,2017-05-29 08:39:54,2017-06-07 15:15:13,2017-06-22,5,,,2017-06-08 00:00:00,2017-06-11 22:26:29,2017-05-31 23:50:13,29.5,16.79,21.0,207.0,2.0,350.0,1,credit_card,5,231.45,canoinhas,SC,sports_leisure,Entertainment,15075.0,27,12,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"50594,porangatu,GO,2017-09-03 22:36:56,2017-09-04 02:31:39,2017-09-04 21:50:02,2017-09-06 17:19:05,2017-09-27,4,,,2017-09-12 00:00:00,2017-09-12 22:12:51,2017-09-11 02:31:39,229.99,13.59,55.0,934.0,1.0,2150.0,2,voucher,1,18.09,sao paulo,SP,cool_stuff,Fashion,15750.0,24,3,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"75985,florianopolis,SC,2017-12-03 20:24:03,2017-12-03 20:31:44,2017-12-04 19:52:00,2017-12-18 11:48:41,2018-01-04,3,,Um pedido com duas unidades mas duas entregas com uma unidade cada uma e pagamento de duas taxas. O produto ficou caro.,2017-12-19 00:00:00,2017-12-21 14:35:04,2017-12-07 20:30:48,109.0,25.31,32.0,411.0,1.0,650.0,1,credit_card,1,268.62,cuiaba,MT,health_beauty,Beauty & Health,4845.0,32,15,14,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"5402,sao joaquim de bicas,MG,2017-12-04 23:17:06,2017-12-06 23:12:56,2017-12-08 00:27:44,2017-12-12 19:32:32,2017-12-21,2,,Não gostei das cortinas e algumas veio com pequenos furos,2017-12-13 00:00:00,2017-12-18 00:23:36,2017-12-12 23:12:56,49.97,13.64,60.0,375.0,2.0,4800.0,1,credit_card,10,190.83,betim,MG,furniture_decor,Furniture,40000.0,17,8,4,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"53946,taboao da serra,SP,2018-04-05 12:12:33,2018-04-06 13:09:03,2018-04-07 01:28:39,2018-04-08 16:03:30,2018-04-23,4,,""Super recomendo, a entrega foi muito rapida!!"",2018-04-09 00:00:00,2018-04-10 11:33:53,2018-04-12 13:09:03,219.0,21.58,53.0,419.0,3.0,9650.0,1,debit_card,1,240.58,carapicuiba,SP,cool_stuff,Fashion,27520.0,18,3,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"7690,capivari,SP,2017-03-21 00:04:33,2017-03-21 00:04:33,2017-03-21 12:05:44,2017-03-27 15:03:46,2017-04-07,3,,,2017-03-28 00:00:00,2017-03-29 10:29:18,2017-03-27 00:04:33,59.9,11.03,52.0,1786.0,2.0,500.0,1,credit_card,7,70.93,campinas,SP,furniture_decor,Furniture,7072.0,17,6,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"47221,votorantim,SP,2017-09-14 14:53:35,2017-09-14 15:05:57,2017-09-15 15:54:58,2017-09-21 19:09:28,2017-10-02,5,,Mto bom. ,2017-09-22 00:00:00,2017-09-22 17:40:37,2017-09-20 15:05:57,99.99,16.46,47.0,404.0,1.0,1550.0,1,credit_card,9,116.45,rio de janeiro,RJ,toys,Entertainment,13950.0,18,7,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"68572,volta redonda,RJ,2017-03-20 10:24:23,2017-03-20 10:24:23,2017-03-20 11:57:44,2017-03-28 15:09:24,2017-04-10,5,,Tudo ok,2017-03-29 00:00:00,2017-03-30 01:38:44,2017-03-24 10:24:23,229.9,15.78,48.0,640.0,1.0,250.0,1,credit_card,4,245.68,sumare,SP,watches_gifts,Electronics,3520.0,21,8,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"111270,marilia,SP,2018-03-23 11:03:26,2018-03-24 02:10:47,2018-03-27 20:57:32,2018-04-06 03:11:39,2018-04-17,5,,,2018-04-06 00:00:00,2018-04-09 10:59:28,2018-03-29 02:10:47,31.9,15.2,53.0,470.0,3.0,200.0,1,boleto,1,94.2,pocos de caldas,MG,costruction_tools_tools,Home & Garden,4096.0,25,14,10,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"26050,louveira,SP,2018-01-19 21:09:30,2018-01-19 21:18:25,2018-01-31 17:48:58,2018-02-05 18:08:51,2018-02-09,5,,""Gostei do atendimento e também da rapidez da entrega,tambem gostei das mercadorias.muito obrigada"",2018-02-06 00:00:00,2018-02-06 21:00:01,2018-01-25 21:18:25,174.9,20.1,54.0,830.0,4.0,5000.0,1,credit_card,3,195.0,tupa,SP,baby,Fashion,16000.0,21,17,5,Late,OnTime/Early,Neutral,Neutral,Very Fast"
"26754,cachoeirinha,RS,2017-10-21 17:57:49,2017-10-21 18:14:17,2017-10-24 20:42:33,2017-11-06 20:58:44,2017-11-21,4,,""A estampa do produto ñ é a mesma que solicitei, mas ñ vou querer trocar."",2017-11-08 00:00:00,2017-11-10 12:39:11,2017-11-01 18:14:17,95.0,18.91,59.0,293.0,1.0,1200.0,3,voucher,1,41.51,rio de janeiro,RJ,housewares,Home & Garden,8748.0,31,16,13,OnTime/Early,OnTime/Early,Slow,Neutral,Fast"
"52373,barueri,SP,2018-03-11 20:54:38,2018-03-11 21:28:13,2018-03-13 12:48:41,2018-03-14 22:38:42,2018-03-22,1,,""o áudio dele não é bom, é muito baixo (além de o som parecer estar meio """"tampado""""). Você coloca no volume máximo e quase não se escuta direito. Fora a qualidade que fica devendo e muito."",2018-03-15 00:00:00,2018-03-16 02:36:25,2018-03-15 21:05:46,12.67,7.39,25.0,176.0,1.0,163.0,1,credit_card,1,40.12,sao paulo,SP,cool_stuff,Fashion,2431.0,11,3,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"54699,dois corregos,SP,2018-05-05 15:56:36,2018-05-07 16:12:24,2018-05-08 13:51:00,2018-05-14 19:16:31,2018-06-01,5,,,2018-05-15 00:00:00,2018-05-20 11:14:14,2018-05-11 16:12:24,19.9,18.23,57.0,1370.0,1.0,200.0,1,credit_card,3,38.13,porto alegre,RS,computers_accessories,Electronics,4500.0,27,9,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"22820,presidente venceslau,SP,2018-07-08 11:25:34,2018-07-08 11:45:37,2018-07-10 14:57:00,2018-07-13 22:04:38,2018-07-27,1,nao recebi todo material ,veio somente uma pastilha de 06 e nao recebi o cloro ainda !!!,2018-07-14 00:00:00,2018-07-17 00:57:00,2018-07-11 11:45:37,6.12,11.13,56.0,400.0,1.0,300.0,1,credit_card,10,297.02,guarulhos,SP,sports_leisure,Entertainment,4096.0,19,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"72012,rio de janeiro,RJ,2018-04-21 16:49:56,2018-04-24 19:17:35,2018-04-23 22:33:05,2018-05-07 19:22:30,2018-06-01,3,recomendo,Comecei a usar agora ,2018-05-08 00:00:00,2018-05-10 13:57:17,2018-04-26 17:30:39,64.99,27.51,46.0,841.0,1.0,400.0,1,credit_card,3,92.5,sao luis,MA,health_beauty,Beauty & Health,2964.0,41,16,14,OnTime/Early,OnTime/Early,Very Slow,Neutral,Fast"
"32769,medianeira,PR,2017-12-20 11:07:49,2017-12-21 02:11:22,2017-12-21 20:50:06,2018-01-03 21:56:02,2018-01-22,1,,Está faltando 1 unidade e não consegui falar com ninguém a respeito disso. Estarei procurando o Procon ,2018-01-04 00:00:00,2018-01-05 01:05:32,2017-12-28 02:11:22,45.0,9.26,60.0,466.0,4.0,400.0,1,boleto,1,149.31,jacarei,SP,housewares,Home & Garden,3600.0,33,14,13,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"2380,franca,SP,2018-05-13 19:47:01,2018-05-15 04:12:18,2018-05-15 15:02:00,2018-05-21 13:14:49,2018-06-06,5,Lindíssimo,O quadro mais bonito que já vi! Entrega ágil e tudo muito bem embalado...,2018-05-22 00:00:00,2018-05-22 17:02:24,2018-05-21 04:12:18,159.0,10.76,37.0,267.0,1.0,2750.0,1,boleto,1,169.76,sao paulo,SP,furniture_decor,Furniture,40000.0,24,8,6,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"80946,sao paulo,SP,2017-07-19 16:59:19,2017-07-20 17:43:41,2017-07-26 14:23:19,2017-07-31 21:59:28,2017-08-11,5,,,2017-08-01 00:00:00,2017-08-05 16:41:49,2017-07-27 17:43:41,195.0,13.5,57.0,698.0,1.0,563.0,1,credit_card,5,417.0,umuarama,PR,perfumery,Beauty & Health,4950.0,23,12,5,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"27962,belo horizonte,MG,2018-08-07 22:04:34,2018-08-07 22:15:22,2018-08-15 17:06:00,2018-08-17 00:36:23,2018-08-27,3,bom,bom,2018-08-18 00:00:00,2018-08-20 13:39:50,2018-08-19 22:15:22,139.9,16.29,53.0,1147.0,2.0,5650.0,1,credit_card,2,156.19,divinopolis,MG,housewares,Home & Garden,23100.0,20,10,2,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"54436,porto alegre,RS,2018-07-17 12:02:11,2018-07-17 12:15:18,2018-07-17 14:00:00,2018-07-20 20:51:25,2018-08-07,5,,,2018-07-21 00:00:00,2018-07-24 10:21:47,2018-07-19 12:15:18,289.0,17.12,60.0,527.0,1.0,450.0,1,credit_card,4,306.12,sao paulo,SP,computers_accessories,Electronics,578.0,21,3,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"38989,teresopolis,RJ,2018-03-01 19:24:33,2018-03-01 19:49:17,2018-03-02 22:46:32,2018-04-07 18:24:41,2018-03-21,1,,não recebi minha mercadoria. como faco,2018-03-23 00:00:00,2018-04-03 20:37:27,2018-03-07 19:49:17,70.0,16.25,54.0,508.0,1.0,850.0,1,credit_card,1,86.25,ibitinga,SP,bed_bath_table,Furniture,20250.0,20,37,36,OnTime/Early,Late,Neutral,Slow,Slow"
"97437,colombo,PR,2018-08-22 13:57:22,2018-08-22 14:05:10,2018-08-23 16:28:00,2018-08-29 17:51:40,2018-09-17,4,,,2018-08-30 00:00:00,2018-08-30 21:44:40,2018-08-24 14:05:10,55.0,22.32,52.0,1667.0,1.0,200.0,1,credit_card,2,77.32,montes claros,MG,construction_tools_construction,Industry & Construction,1936.0,26,7,6,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"2088,cachoeiro de itapemirim,ES,2018-06-29 11:50:43,2018-06-29 12:10:03,2018-07-02 14:11:00,2018-07-06 17:51:00,2018-07-27,2,Recomendo sim,Recebi apenas 1 kit de quadros. Estou aguardando pelo outro kit.,2018-07-07 00:00:00,2018-07-08 16:22:03,2018-07-03 12:10:03,297.0,98.74,55.0,412.0,1.0,7450.0,1,credit_card,10,594.38,curitiba,PR,furniture_decor,Furniture,32760.0,28,7,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"52289,aracaju,SE,2018-03-21 20:09:23,2018-03-22 20:10:27,2018-03-23 20:11:13,2018-04-03 19:38:37,2018-04-16,5,,""Produto muito bom , chegou no prazo"",2018-04-04 00:00:00,2018-04-05 00:28:11,2018-03-28 20:10:27,380.0,95.42,50.0,268.0,5.0,10664.0,2,voucher,1,100.0,mogi das cruzes,SP,cool_stuff,Fashion,134505.0,26,13,11,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"84611,belo horizonte,MG,2017-10-05 16:19:02,2017-10-05 16:35:50,2017-10-09 22:12:36,2017-10-18 19:13:43,2017-10-31,5,,entregou antes do tempo. produto como esperado ,2017-10-19 00:00:00,2017-10-19 21:55:01,2017-10-11 16:35:50,59.9,17.67,56.0,348.0,2.0,1550.0,1,credit_card,1,77.57,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,26,13,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"23982,goiatuba,GO,2018-03-28 23:17:35,2018-03-28 23:30:15,2018-03-29 17:58:42,2018-04-04 21:26:32,2018-04-20,4,,""Produto muito bom, chegou antes do prazo!"",2018-04-05 00:00:00,2018-04-14 18:42:45,2018-04-03 23:30:15,109.9,23.35,32.0,1531.0,1.0,700.0,1,credit_card,8,133.25,sao paulo,SP,baby,Fashion,60000.0,23,7,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"49709,sao paulo,SP,2017-05-15 11:23:57,2017-05-16 03:15:34,2017-05-16 09:03:25,2017-05-17 11:00:04,2017-05-24,4,,,2017-05-18 00:00:00,2017-05-20 16:38:41,2017-05-22 03:15:34,159.99,9.93,36.0,474.0,5.0,850.0,1,boleto,1,169.92,sao paulo,SP,toys,Entertainment,11550.0,9,2,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"11072,osasco,SP,2017-04-20 12:32:55,2017-04-22 13:21:14,2017-04-24 13:28:55,2017-05-07 13:27:53,2017-05-10,4,,,2017-05-08 00:00:00,2017-05-09 20:34:15,2017-04-27 13:21:14,169.0,18.47,49.0,546.0,1.0,6400.0,1,credit_card,1,187.47,guarulhos,SP,auto,Electronics,43659.0,20,17,13,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast"
"104264,braganca paulista,SP,2018-03-19 23:40:11,2018-03-20 00:31:28,2018-03-22 22:54:48,2018-03-26 16:49:05,2018-04-02,5,,,2018-03-27 00:00:00,2018-03-27 21:36:37,2018-03-27 00:31:28,250.0,30.87,57.0,771.0,1.0,12000.0,1,credit_card,3,280.87,sao paulo,SP,construction_tools_lights,Home & Garden,70875.0,14,7,4,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"42315,sao paulo,SP,2017-03-24 12:20:28,2017-03-24 13:07:25,2017-03-27 15:33:42,2017-03-31 11:44:46,2017-04-25,4,,,2017-04-01 00:00:00,2017-04-02 02:15:16,2017-03-30 13:07:25,79.9,15.32,53.0,867.0,1.0,1100.0,1,debit_card,1,95.22,belo horizonte,MG,bed_bath_table,Furniture,6400.0,32,7,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast"
"48877,belo horizonte,MG,2018-08-21 12:01:19,2018-08-21 12:10:35,2018-08-22 14:51:00,2018-08-24 20:08:46,2018-09-06,5,,""Tentei solicitar a troca pelo site e não consegui. O produto é ótimo. Só que uma bola do boliche veio com defeito, veio rachada. Tem como enviar a bola vermelha sem defeito?"",2018-08-25 00:00:00,2018-08-28 00:21:13,2018-08-24 12:10:35,33.0,23.03,52.0,730.0,2.0,1250.0,1,credit_card,1,56.03,ribeirao preto,SP,toys,Entertainment,13662.0,16,3,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
